index,degree,cohort,gender,school,test,total_cfu,total_cfu_g,avg_g,math_course_g,math_course_d,mat_class
170,CdS3,2014,M,LS,13.0,15,15,30,0,0000-00-00,no
171,CdS4,2012,M,IT,18.0,27,24,25,19,2014-02-27,yes
172,CdS4,2011,M,LS,19.0,24,24,27,18,2014-01-16,yes
173,CdS4,2013,F,LS,4.0,15,12,20,20,2014-06-17,yes
174,CdS4,2013,M,AL,12.0,27,24,27,0,0000-00-00,no
175,CdS3,2014,F,AL,12.0,33,33,28,0,0000-00-00,no
176,CdS3,2011,F,LS,15.0,12,12,26,19,2013-06-18,yes
177,CdS4,2013,M,LS,21.0,48,48,27,26,2014-02-27,yes
178,CdS4,2014,M,IT,6.0,15,12,23,0,0000-00-00,no
179,CdS3,2011,F,LS,13.0,51,48,25,18,2012-01-18,yes
180,CdS4,2011,M,LS,12.0,15,12,24,0,0000-00-00,no
181,CdS3,2012,F,LS,10.0,21,21,24,0,0000-00-00,no
182,CdS4,2014,M,LS,17.0,27,24,23,19,2015-02-05,yes
183,CdS3,2013,M,LS,14.0,12,12,23,0,0000-00-00,no
184,CdS3,2011,F,LS,11.0,15,12,27,0,0000-00-00,no
185,CdS4,2011,F,IT,16.0,15,12,26,0,0000-00-00,no
186,CdS4,2012,M,LS,7.0,27,24,24,23,2013-07-02,yes
187,CdS4,2013,M,AL,9.0,3,0,0,0,0000-00-00,no
188,CdS4,2011,F,LC,8.0,12,12,26,18,2015-02-26,yes
189,CdS3,2011,F,LC,9.0,33,33,23,18,2012-09-14,yes
190,CdS3,2014,M,LS,16.0,12,12,26,0,0000-00-00,no
191,CdS3,2013,F,LC,11.0,24,21,28,18,2017-06-13,yes
192,CdS3,2016,M,IT,7.0,33,33,29,26,2017-06-13,yes
193,CdS4,2012,M,IT,9.0,27,24,22,19,2013-02-07,yes
194,CdS4,2010,M,IT,6.0,18,18,22,26,2014-02-27,yes
195,CdS3,2013,M,AL,11.0,6,6,18,0,0000-00-00,no
196,CdS4,2014,F,LS,9.0,24,24,27,18,2016-02-08,yes
197,CdS4,2014,M,LS,9.0,24,24,23,23,2015-02-26,yes
198,CdS4,2010,M,IT,20.0,30,27,24,18,2015-01-15,yes
199,CdS4,2015,F,LS,10.0,12,12,24,0,0000-00-00,no
200,CdS3,2015,M,TC,17.0,57,54,30,30,2016-06-14,yes
201,CdS3,2010,F,LC,8.0,24,24,28,0,0000-00-00,no
202,CdS4,2010,F,IT,12.0,24,21,26,0,0000-00-00,no
203,CdS3,2010,F,IT,11.0,6,6,28,0,0000-00-00,no
