@relation dataset_shuffled-weka.filters.unsupervised.attribute.Remove-R1

@attribute degree {CdS4,CdS3}
@attribute cohort numeric
@attribute gender {M,F}
@attribute school {LS,TC,LC,AL,IT,IP,IA,LL}
@attribute test numeric
@attribute total_cfu numeric
@attribute total_cfu_g numeric
@attribute avg_g numeric
@attribute math_course_g numeric
@attribute math_course_d {2017-02-23,0000-00-00,2016-09-20,2012-02-10,2014-09-17,2017-02-02,2016-02-24,2013-02-07,2015-06-18,2011-07-06,2013-07-02,2017-07-13,2017-06-27,2015-01-15,2016-07-11,2015-02-05,2017-01-18,2018-02-22,2014-02-27,2012-09-14,2014-01-16,2017-06-13,2013-02-28,2011-09-23,2013-01-15,2016-07-13,2014-02-06,2017-01-19,2014-07-10,2016-06-14,2016-06-20,2015-02-26,2011-03-04,2016-01-19,2016-07-28,2016-06-29,2015-09-17,2015-07-15,2011-02-25,2015-01-14,2017-02-15,2013-06-18,2015-06-09,2016-09-06,2016-07-19,2016-02-08,2015-02-10,2012-01-18,2014-06-17,2012-06-11,2011-06-23,2017-09-13,2015-07-23,2011-07-11}

@data
CdS3,2016,F,LS,14.75,24,24,30,30,2017-06-13
CdS4,2016,M,LS,7.75,15,12,25,0,0000-00-00
CdS3,2016,M,LS,7.25,57,54,25,20,2017-06-13
CdS3,2015,M,LS,18,48,45,26,27,2016-06-14
CdS4,2014,M,LS,16,27,24,27,18,2016-01-19
CdS3,2016,F,LS,9.5,48,45,26,24,2017-06-13
CdS4,2015,F,LC,10,39,36,20,18,2016-02-24
CdS4,2013,F,LS,11,39,36,22,18,2014-02-27
CdS4,2010,F,LC,16,60,57,26,25,2011-03-04
CdS3,2015,F,TC,12,6,6,30,0,0000-00-00
CdS3,2014,F,AL,9,3,0,0,0,0000-00-00
CdS3,2016,F,IA,3.5,33,30,28,0,0000-00-00
CdS4,2015,M,LS,18,48,48,25,0,0000-00-00
CdS3,2016,M,LS,2.75,15,12,24,0,0000-00-00
CdS3,2014,F,LS,8,12,12,27,0,0000-00-00
CdS4,2013,F,LS,22,48,48,28,25,2014-02-06
CdS3,2010,M,LC,9,12,12,25,22,2014-07-10
CdS4,2014,M,LS,10,39,36,24,19,2016-01-19
CdS3,2015,M,TC,10,36,33,24,18,2016-07-28
CdS3,2014,M,LS,5,15,15,28,0,0000-00-00
CdS4,2013,M,LS,16,12,12,23,0,0000-00-00
CdS3,2016,M,LC,7.75,6,6,25,0,0000-00-00
CdS4,2015,M,LS,18,51,48,27,0,0000-00-00
CdS3,2011,M,LS,16,18,18,23,21,2012-02-10
CdS4,2013,F,IT,8,39,36,24,18,2016-07-11
CdS3,2013,F,AL,16,24,21,27,0,0000-00-00
CdS4,2012,M,LS,15,39,36,24,0,0000-00-00
CdS4,2012,F,LC,17,36,36,27,22,2013-01-15
CdS4,2012,M,IT,12,3,0,0,0,0000-00-00
CdS4,2011,M,LS,12,24,24,21,18,2012-02-10
CdS3,2016,M,LS,1.5,21,21,22,0,0000-00-00
CdS4,2016,F,AL,0.75,24,24,24,0,0000-00-00
CdS3,2015,M,TC,16,42,42,24,18,2016-06-29
CdS4,2013,F,IT,10,27,24,24,0,0000-00-00
CdS3,2013,F,LS,20,33,33,27,27,2014-02-06
CdS3,2011,F,LS,11,15,12,27,0,0000-00-00
CdS3,2012,M,IT,14,18,18,25,18,2015-02-26
CdS3,2013,M,LC,22,15,15,28,0,0000-00-00
CdS4,2016,F,LS,1.75,27,24,23,0,0000-00-00
CdS4,2010,M,LS,14,6,3,25,0,0000-00-00
CdS3,2013,M,AL,7,6,6,27,0,0000-00-00
CdS3,2016,F,LS,4.5,54,54,24,18,2017-06-13
CdS4,2014,M,IT,15,51,48,28,25,2015-09-17
CdS3,2014,F,AL,6,9,6,22,0,0000-00-00
CdS3,2012,M,IT,10,33,33,27,0,0000-00-00
CdS3,2011,M,LS,11,27,24,24,20,2014-02-27
CdS3,2014,M,LS,13,15,15,30,0,0000-00-00
CdS3,2015,M,LS,22,51,48,27,26,2016-06-29
CdS4,2016,M,LS,5,51,48,22,19,2017-01-19
CdS3,2016,F,AL,2.5,12,12,29,0,0000-00-00
CdS3,2014,M,LS,18,12,12,25,25,2015-07-15
CdS3,2014,F,LS,8,6,6,24,0,0000-00-00
CdS3,2011,M,LS,11,15,15,31,23,2014-07-10
CdS4,2013,F,LS,10,39,36,21,19,2014-02-27
CdS4,2012,M,IT,16,36,36,24,24,2014-09-17
CdS4,2013,M,LS,12,39,36,24,25,2014-02-27
CdS3,2014,F,LS,9,12,12,26,0,0000-00-00
CdS4,2012,M,IT,5,36,36,23,22,2014-07-10
CdS4,2014,M,IT,6,12,12,23,0,0000-00-00
CdS4,2010,M,IT,20,30,27,24,18,2015-01-15
CdS4,2012,F,AL,13,51,48,25,21,2013-02-07
CdS3,2012,F,LS,10,21,21,24,0,0000-00-00
CdS4,2013,M,IT,18,24,24,23,0,0000-00-00
CdS4,2013,M,LS,20,51,48,25,24,2014-02-27
CdS4,2014,M,IT,6,15,12,23,0,0000-00-00
CdS3,2016,F,LS,10.5,21,18,22,24,2017-06-27
CdS3,2012,F,LS,10,3,0,0,0,0000-00-00
CdS3,2014,F,LS,14,9,6,27,0,0000-00-00
CdS3,2016,M,IP,1.75,9,6,26,0,0000-00-00
CdS4,2013,M,AL,12,27,24,27,0,0000-00-00
CdS4,2013,F,LS,12,3,0,0,0,0000-00-00
CdS3,2013,M,LS,9,21,18,28,31,2014-09-17
CdS4,2010,M,IT,6,18,18,22,26,2014-02-27
CdS3,2011,M,IT,11,15,15,24,20,2013-02-28
CdS4,2012,M,IT,15,36,36,23,19,2014-02-27
CdS3,2012,F,AL,11,33,33,24,19,2015-01-15
CdS3,2015,M,IT,5,6,6,27,0,0000-00-00
CdS4,2010,M,LS,11,3,0,0,0,0000-00-00
CdS3,2014,F,AL,6,6,6,23,0,0000-00-00
CdS3,2013,M,AL,14,45,42,28,18,2016-06-29
CdS3,2012,F,LS,7,18,18,19,0,0000-00-00
CdS3,2016,F,LS,7,48,45,26,26,2017-06-27
CdS4,2010,M,IA,9,33,30,25,20,2016-01-19
CdS4,2011,M,LS,11,3,0,0,0,0000-00-00
CdS4,2014,M,LS,8,12,12,20,0,0000-00-00
CdS4,2014,M,IT,18,51,48,22,18,2015-02-26
CdS3,2010,M,LS,22,21,21,28,27,2011-02-25
CdS3,2015,M,LS,14,9,6,30,0,0000-00-00
CdS4,2015,M,LS,15,39,36,26,30,2016-07-11
CdS3,2011,F,AL,10,8,6,28,0,0000-00-00
CdS4,2012,F,LS,7,15,12,28,18,2015-09-17
CdS3,2014,M,LS,22,27,27,23,0,0000-00-00
CdS4,2012,M,IT,8,15,12,21,0,0000-00-00
CdS4,2014,M,LS,11,36,36,27,0,0000-00-00
CdS3,2015,M,IT,6,21,18,27,0,0000-00-00
CdS4,2013,M,IT,11,39,36,26,28,2014-02-27
CdS3,2016,F,LL,5,36,36,30,28,2017-06-13
CdS3,2012,M,LS,18,6,6,29,0,0000-00-00
CdS4,2012,M,IT,18,27,24,25,19,2014-02-27
CdS3,2016,M,LS,7,36,33,24,19,2017-06-27
CdS4,2014,F,IA,14,51,48,24,18,2015-02-05
CdS3,2016,F,LS,8,15,12,26,0,0000-00-00
CdS3,2013,F,AL,5,6,6,28,0,0000-00-00
CdS4,2011,F,LC,8,12,12,26,18,2015-02-26
CdS4,2010,M,IT,15,57,57,26,22,2011-03-04
CdS3,2014,F,LS,24,45,45,29,27,2015-01-14
CdS4,2016,M,IT,3.75,12,12,26,0,0000-00-00
CdS3,2011,F,IT,15,18,15,26,18,2014-09-17
CdS3,2015,M,LS,19,18,15,26,21,2017-02-15
CdS3,2016,F,IT,3.75,21,21,27,0,0000-00-00
CdS4,2013,M,IT,15,51,48,26,27,2014-02-27
CdS3,2016,M,IA,4.25,6,6,28,0,0000-00-00
CdS3,2012,F,LC,10,24,21,29,30,2014-07-10
CdS4,2013,F,IT,15,39,36,22,19,2014-02-06
CdS3,2016,F,LS,9.25,3,0,0,0,0000-00-00
CdS4,2012,M,IT,10,15,12,20,0,0000-00-00
CdS3,2011,F,LS,15,12,12,26,19,2013-06-18
CdS4,2016,F,IT,6.75,27,24,22,20,2017-01-19
CdS4,2011,M,TC,17,12,12,26,26,2015-06-18
CdS3,2016,F,AL,0,3,0,0,0,0000-00-00
CdS4,2014,M,TC,7,15,12,22,0,0000-00-00
CdS3,2015,M,IT,19,24,24,27,27,2016-06-14
CdS3,2011,F,LS,9,36,36,26,18,2013-01-15
CdS3,2014,F,IT,6,24,24,22,19,2015-06-09
CdS3,2012,F,AL,7,6,6,26,0,0000-00-00
CdS4,2016,F,LC,4.75,27,24,27,0,0000-00-00
CdS4,2016,M,IT,10.5,63,60,25,20,2017-01-19
CdS4,2013,M,LS,18,36,36,26,26,2014-02-27
CdS4,2010,M,IT,17,33,30,25,0,0000-00-00
CdS3,2014,F,IT,13,6,6,27,0,0000-00-00
CdS4,2011,M,LS,16,39,36,23,19,2012-02-10
CdS4,2016,F,LS,7.75,39,36,25,0,0000-00-00
CdS4,2010,F,IT,12,24,21,26,0,0000-00-00
CdS3,2015,F,LC,11,12,12,21,0,0000-00-00
CdS3,2012,F,AL,16,12,12,18,0,0000-00-00
CdS4,2015,M,LS,19,36,36,23,18,2016-09-06
CdS3,2014,M,LS,7,21,21,26,0,0000-00-00
CdS3,2010,M,TC,9,6,6,21,0,0000-00-00
CdS4,2016,F,LL,5.25,36,36,24,0,0000-00-00
CdS4,2014,M,LS,12,36,36,20,18,2015-02-26
CdS3,2016,M,IA,10.25,33,30,27,0,0000-00-00
CdS4,2014,M,LS,18,63,60,27,28,2015-01-15
CdS4,2015,M,LS,19,60,60,23,23,2016-01-19
CdS3,2011,M,LS,14,15,15,30,0,0000-00-00
CdS3,2015,F,IT,9,36,33,22,18,2016-07-13
CdS3,2013,M,IT,17,18,15,26,24,2016-07-19
CdS4,2014,M,TC,6,27,24,20,18,2016-07-11
CdS4,2011,M,LS,12,15,12,24,0,0000-00-00
CdS3,2013,F,AL,7,12,12,18,0,0000-00-00
CdS4,2015,M,IT,11,48,48,25,20,2016-01-19
CdS3,2015,M,TC,17,57,54,30,30,2016-06-14
CdS3,2016,F,LC,1.25,9,6,31,0,0000-00-00
CdS3,2014,M,LS,13,27,24,26,0,0000-00-00
CdS3,2016,F,AL,3.75,24,24,25,23,2017-06-27
CdS3,2013,M,LS,17,27,27,20,19,2014-07-10
CdS3,2012,F,AL,12,24,24,29,24,2014-09-17
CdS3,2010,F,LS,16,39,39,26,19,2011-02-25
CdS4,2016,M,LS,1.5,12,12,24,0,0000-00-00
CdS4,2012,M,LS,11,24,24,21,18,2013-02-28
CdS4,2011,F,IT,16,15,12,26,0,0000-00-00
CdS4,2011,M,IT,17,24,24,21,24,2015-02-05
CdS3,2012,M,AL,14,39,36,22,22,2013-02-07
CdS3,2015,M,LS,9,6,6,27,0,0000-00-00
CdS3,2014,M,LC,7,21,21,23,0,0000-00-00
CdS3,2013,F,LC,7,6,6,24,0,0000-00-00
CdS3,2014,F,LS,14,9,6,24,24,2016-06-14
CdS4,2012,F,LS,8,48,48,23,18,2013-01-15
CdS3,2016,M,IT,7,33,33,29,26,2017-06-13
CdS4,2012,F,IP,9,27,24,24,18,2016-06-20
CdS3,2014,M,LS,18,24,24,24,0,0000-00-00
CdS3,2013,F,LS,18,36,33,30,26,2016-06-29
CdS3,2015,F,LS,15,18,18,26,25,2016-06-14
CdS3,2016,F,AL,1.75,12,12,30,0,0000-00-00
CdS3,2014,M,IP,8,12,12,27,0,0000-00-00
CdS3,2013,M,LS,14,12,12,23,0,0000-00-00
CdS4,2012,F,IT,14,39,36,27,20,2015-09-17
CdS3,2011,F,LC,7,18,15,30,18,2014-07-10
CdS4,2014,F,LC,15,39,36,24,19,2016-02-08
CdS4,2013,M,LS,13,27,24,28,22,2017-02-02
CdS4,2010,M,IP,16,48,45,27,21,2014-02-06
CdS3,2013,M,LS,14,12,12,27,0,0000-00-00
CdS4,2016,F,AL,2,27,24,22,0,0000-00-00
CdS3,2012,F,LS,11,12,12,29,0,0000-00-00
CdS4,2016,F,LS,-1.5,24,24,22,0,0000-00-00
CdS3,2016,F,LC,-0.25,9,6,26,0,0000-00-00
CdS3,2011,M,TC,10,15,12,23,18,2014-09-17
CdS3,2012,F,LS,17,36,33,29,28,2014-07-10
CdS3,2016,M,LS,7,3,0,0,0,0000-00-00
CdS4,2010,M,LL,13,51,48,25,18,2011-02-25
CdS4,2011,F,TC,4,15,12,27,24,2016-01-19
CdS4,2013,M,LS,15,39,36,27,28,2014-02-27
CdS3,2014,M,LC,17,51,48,27,20,2015-02-10
CdS4,2013,M,IT,7,3,0,0,0,0000-00-00
CdS3,2016,M,LS,10,54,54,30,28,2017-06-13
CdS3,2015,M,IA,8,6,6,22,0,0000-00-00
CdS4,2010,F,LS,19,42,39,24,18,2011-03-04
CdS3,2015,M,IT,12,3,0,0,0,0000-00-00
CdS4,2014,F,IT,13,12,12,23,0,0000-00-00
CdS3,2013,F,LC,11,24,21,28,18,2017-06-13
CdS4,2011,F,LS,11,24,24,25,18,2015-02-26
CdS3,2016,M,IT,2.25,6,6,29,0,0000-00-00
CdS4,2016,F,LS,-1.25,27,24,26,0,0000-00-00
CdS4,2016,F,LL,7.25,63,60,25,20,2017-02-02
CdS4,2013,F,LS,22,51,48,28,26,2014-02-06
CdS3,2016,F,IP,0.75,9,6,18,0,0000-00-00
CdS3,2011,F,LS,13,51,48,25,18,2012-01-18
CdS4,2013,F,AL,15,51,48,25,28,2014-02-06
CdS3,2012,F,AL,11,6,6,28,0,0000-00-00
CdS3,2010,F,LS,11,12,12,27,0,0000-00-00
CdS3,2010,M,LS,19,60,60,29,24,2011-02-25
CdS4,2013,F,LS,4,15,12,20,20,2014-06-17
CdS3,2013,M,AL,11,6,6,18,0,0000-00-00
CdS3,2011,F,IT,13,6,6,25,0,0000-00-00
CdS4,2016,M,LS,6,24,24,23,0,0000-00-00
CdS4,2012,M,AL,10,27,24,25,0,0000-00-00
CdS3,2013,M,LS,12,15,12,30,0,0000-00-00
CdS3,2015,F,LC,8,33,33,24,18,2016-07-13
CdS3,2010,M,LS,6,6,6,27,0,0000-00-00
CdS4,2014,M,IT,12,51,48,23,18,2015-02-26
CdS4,2016,M,TC,3.75,12,12,24,0,0000-00-00
CdS4,2012,F,AL,8,3,0,0,0,0000-00-00
CdS3,2014,M,TC,5,6,6,27,0,0000-00-00
CdS4,2014,M,LS,12,39,36,22,20,2015-01-15
CdS4,2010,M,IT,15,39,39,27,18,2015-06-18
CdS3,2015,F,LS,13,27,27,21,18,2016-06-29
CdS3,2016,F,LL,-0.75,3,0,0,0,0000-00-00
CdS3,2011,F,AL,8,12,12,18,0,0000-00-00
CdS3,2014,F,AL,6,9,9,26,0,0000-00-00
CdS3,2015,M,LS,13,15,15,23,0,0000-00-00
CdS3,2014,F,AL,12,33,33,28,0,0000-00-00
CdS4,2013,M,LS,10,27,24,25,0,0000-00-00
CdS4,2016,M,LS,8.5,36,36,22,18,2017-01-19
CdS4,2014,M,LS,10,12,12,22,0,0000-00-00
CdS4,2015,F,LS,14,51,48,26,0,0000-00-00
CdS4,2015,M,IT,15,24,24,25,0,0000-00-00
CdS3,2014,M,LS,17,6,6,28,0,0000-00-00
CdS3,2012,F,LC,13,24,21,28,18,2015-02-05
CdS3,2013,F,AL,7,51,48,25,19,2014-07-10
CdS3,2011,M,LS,13,30,27,20,19,2012-01-18
CdS3,2012,F,IT,8,33,33,26,19,2014-09-17
CdS4,2015,M,IT,8,24,24,24,19,2017-01-19
